,0.0
provinsi,2.2552724
teknik,2.5563025
jahat,2.2552724
almanak,2.5563025
pakai,1.7781513
muda,2.5563025
halam,2.5563025
musim,2.2552724
hujan,2.5563025
musik,2.0791812
khusus,2.5563025
bandara,2.5563025
warna,1.4771212
masammasam,2.2552724
sistem,2.2552724
timah,2.5563025
oksigen,2.2552724
prajurit,1.9542425
ragam,1.9542425
dasawarsa,2.5563025
gundu,2.5563025
daging,1.7112044
upah,2.2552724
arah,1.8573325
bukit,2.5563025
cahari,2.5563025
kue,2.5563025
kencang,2.2552724
seri,2.5563025
besarbesar,2.5563025
bugar,2.5563025
dekade,2.5563025
selsel,2.5563025
sisir,2.2552724
saudara,2.5563025
alkal,2.5563025
nila,2.0791812
jantan,2.2552724
dengungdengung,2.5563025
struasi,2.5563025
resmi,2.2552724
seratus,2.5563025
seluloid,2.5563025
didik,2.5563025
logam,1.6532125
rancis,2.5563025
kantor,2.5563025
pungut,2.5563025
jaga,2.2552724
kuku,2.5563025
g,2.5563025
mewah,2.5563025
abi,2.2552724
sanggup,2.5563025
daya,2.5563025
l,2.2552724
kadar,2.5563025
aktivitas,2.5563025
slam,2.5563025
s,2.5563025
kirikan,2.5563025
plasma,2.5563025
hama,2.2552724
botol,2.2552724
isi,1.6532125
empu,1.7781513
uridae,2.5563025
undangundang,2.5563025
sopran,2.5563025
saos,2.5563025
pintu,1.9542425
acu,2.2552724
fantasi,2.5563025
riam,2.2552724
ita,2.5563025
buih,2.2552724
ada,2.2552724
giat,2.0791812
konstruksi,2.5563025
kunjung,2.5563025
laci,2.5563025
betina,2.5563025
bakar,1.60206
rekam,2.5563025
tempat,2.5563025
hidup,1.4423592
umbaiumbai,2.5563025
labu,2.5563025
semen,2.5563025
geladak,2.2552724
antara,2.5563025
rongga,1.9542425
sekat,2.2552724
muka,1.9542425
koridor,2.2552724
buku,1.7112044
harga,2.2552724
kawin,2.2552724
bubur,2.5563025
cengkeram,2.5563025
ropa,2.5563025
lancong,2.5563025
leher,2.5563025
garam,2.2552724
rumun,2.5563025
gerbang,2.5563025
ikat,2.0791812
taksi,2.5563025
simpul,2.5563025
cerita,2.2552724
aktris,2.5563025
suram,2.0791812
jenis,2.2552724
arloj,2.5563025
ikal,2.5563025
ikan,2.5563025
bumi,1.9542425
agi,2.2552724
lensa,2.2552724
bahasa,1.9542425
risten,2.5563025
motel,2.5563025
pagar,2.5563025
cipta,2.2552724
pisau,2.5563025
tarik,2.5563025
tanah,1.60206
ahaperkasa,2.5563025
cakap,2.5563025
tanam,2.2552724
hati,2.0791812
ekor,2.5563025
sekeliling,2.2552724
toko,2.5563025
jamu,2.5563025
ahu,2.2552724
sari,2.2552724
bentang,2.5563025
bulu,1.6532125
ciri,2.5563025
anan,2.5563025
anak,1.6532125
apel,2.2552724
jasad,2.2552724
ular,2.5563025
biara,2.5563025
bangsal,2.5563025
sikap,2.5563025
aik,2.0791812
tong,2.5563025
nada,2.2552724
wajib,2.5563025
lancip,2.5563025
ain,2.5563025
roti,2.5563025
serealia,2.5563025
logis,2.5563025
air,1.3521825
utus,2.5563025
utup,2.5563025
tanda,1.7781513
pasang,2.2552724
sauh,2.5563025
komunikasi,2.5563025
besar,2.2552724
langsung,2.2552724
tumpang,2.2552724
rendah,2.0791812
desingdesing,2.5563025
bentuk,1.60206
kabel,2.5563025
aktor,2.5563025
bangku,2.5563025
cahaya,2.5563025
tutur,2.5563025
wilayah,2.2552724
pandang,2.5563025
listrik,1.9542425
jalur,2.5563025
bilik,2.0791812
ungu,2.5563025
uang,1.9542425
bambu,2.0791812
gigi,2.0791812
obat,1.9542425
aka,2.5563025
tutup,1.7781513
mainmain,2.2552724
kambing,2.0791812
satu,1.7112044
atom,1.9542425
jinak,2.5563025
topi,2.5563025
arang,2.5563025
jaring,2.5563025
erat,2.5563025
rahasia,2.5563025
pekat,2.5563025
sarap,2.5563025
benang,2.0791812
llah,2.5563025
objek,2.5563025
jara,2.5563025
pekak,2.5563025
sengsara,2.5563025
mineral,2.5563025
moncong,2.5563025
lat,2.5563025
jari,1.9542425
rimba,2.5563025
kotak,2.0791812
lihara,2.5563025
otomobil,1.9542425
lubang,2.2552724
laku,2.5563025
malaikat,2.5563025
terang,1.9542425
alas,2.0791812
rambut,2.5563025
alat,1.4101745
kokok,2.5563025
sehubung,2.5563025
alam,1.9542425
erah,2.5563025
istri,2.2552724
massa,2.5563025
minumminum,2.2552724
urut,2.2552724
roh,2.0791812
busa,1.9542425
karton,2.5563025
tibatiba,2.2552724
bangga,2.5563025
lebar,2.2552724
lebat,2.5563025
ranting,2.2552724
lihat,2.2552724
tambang,2.5563025
camat,2.2552724
tular,2.5563025
hukum,2.2552724
makan,1.60206
kedap,2.5563025
makam,2.2552724
kristal,2.5563025
naskah,2.5563025
jasa,2.2552724
buru,2.2552724
tidur,1.60206
tua,2.2552724
tulisi,2.5563025
padi,2.2552724
kanakkanak,2.0791812
pinggang,2.2552724
opang,2.0791812
irama,2.5563025
mobil,1.7112044
elang,2.5563025
bangun,1.5563025
kanan,2.0791812
berang,2.2552724
leo,2.5563025
jam,2.5563025
lapis,2.5563025
api,2.5563025
hadap,2.2552724
pela,1.8573325
susun,1.9542425
tugas,1.9542425
lorong,1.8573325
perut,2.0791812
pundak,2.5563025
gallopavo,2.5563025
cair,1.7112044
manis,2.2552724
tropik,2.5563025
lucut,2.5563025
bakul,2.5563025
kimia,2.2552724
injil,2.5563025
remaja,2.0791812
erima,2.5563025
uhan,2.5563025
ulis,2.2552724
ajar,1.9542425
parkir,2.5563025
