,0.0
jahat,1.6532125
gulam,1.9542425
kolese,2.5563025
halam,2.5563025
saki,2.2552724
cemar,2.5563025
bandara,2.5563025
lega,2.5563025
jerawat,1.9542425
masammasam,2.2552724
kolera,2.5563025
timah,2.2552724
saja,1.7112044
akperak,2.2552724
daging,1.30103
komplot,2.2552724
upah,2.0791812
hibur,2.2552724
saji,2.2552724
arsitek,2.2552724
cahari,2.0791812
sisik,2.5563025
kue,1.8573325
remas,2.5563025
kencang,1.9542425
upas,2.5563025
cedok,2.5563025
selsel,1.9542425
sisir,1.8573325
sisip,2.5563025
cutak,2.5563025
jantan,1.9542425
dengungdengung,2.5563025
tustel,2.5563025
sama,1.2340832
dekorasi,2.5563025
tenggat,2.5563025
padri,2.5563025
iman,2.5563025
imam,2.5563025
a,2.5563025
g,2.5563025
spiral,2.0791812
i,2.5563025
sanggup,1.60206
l,2.2552724
m,2.0791812
ampil,2.5563025
tamtama,2.5563025
n,2.5563025
the,2.5563025
saksi,2.2552724
s,2.5563025
jurang,2.2552724
u,2.0791812
hirukpikuk,2.5563025
incim,2.2552724
plasma,1.9542425
hama,2.2552724
asalusul,2.5563025
arwah,2.5563025
instrumen,2.5563025
bogor,2.5563025
jelas,2.2552724
sesudah,2.5563025
saos,2.5563025
sapa,1.6532125
kontrol,2.5563025
suplemen,2.5563025
fantasi,2.5563025
tekstil,2.2552724
balkon,2.0791812
redup,1.9542425
roma,2.5563025
romo,2.5563025
ustazah,2.5563025
anjur,2.5563025
ramanda,2.5563025
tempat,0.59726113
belanja,2.5563025
waruga,2.5563025
cantik,2.5563025
solek,2.2552724
hari,1.4423592
cik,2.5563025
sara,2.5563025
lens,2.5563025
prahara,2.2552724
garba,2.5563025
tempel,2.5563025
jubah,2.5563025
populasi,2.5563025
ropa,1.60206
kembung,2.5563025
lancong,2.2552724
leher,1.7112044
garam,1.7781513
garap,2.5563025
kasar,1.9542425
rohani,2.5563025
kbbiupdatedlexclassnameominalexclassnamerogetnamerogetnamerefsourcename,2.5563025
percantik,2.5563025
kabar,1.9542425
kirim,2.5563025
korong,2.5563025
jelek,2.2552724
sapi,1.8573325
bapanda,2.5563025
jahit,2.5563025
nikmat,2.5563025
genting,2.2552724
fuad,2.5563025
sahayanda,2.2552724
belulang,2.2552724
sata,1.6532125
sasi,1.9542425
cipta,1.8573325
tanah,0.8004277
benara,2.5563025
punding,2.5563025
tanam,1.2775489
hilang,1.9542425
hati,1.30103
lawang,2.2552724
administrasi,2.5563025
okulasi,2.5563025
besan,2.5563025
intel,2.5563025
sari,2.0791812
bentang,1.8573325
alembang,2.5563025
gendut,2.5563025
anan,2.0791812
anak,1.1413292
begundal,2.5563025
binasa,2.5563025
sikap,1.6532125
bangsal,1.9542425
hingarbingar,2.5563025
woman,2.5563025
pondo,2.5563025
pusara,2.5563025
roti,2.5563025
anda,2.0791812
bangsat,2.5563025
sikat,2.5563025
tanda,1.2775489
susila,2.5563025
tol,2.5563025
sauh,2.5563025
besar,0.77097267
komunikasi,1.8573325
gelora,2.0791812
sabung,2.2552724
lera,2.0791812
zatzat,2.2552724
haul,2.5563025
kontol,2.0791812
kabel,2.5563025
ampak,2.0791812
bebas,2.0791812
cahaya,1.7112044
spirit,2.5563025
langsa,2.5563025
bentala,2.2552724
rintikrintik,2.5563025
selaya,2.0791812
cetera,2.5563025
satu,0.8159398
pinjam,2.5563025
ampas,2.2552724
dahulu,1.5149099
pipi,2.5563025
ujang,1.9542425
nullxml,2.5563025
erat,2.2552724
rahasia,2.2552724
sakti,2.5563025
benang,1.60206
lai,2.5563025
sifatsifat,2.0791812
kunyit,2.5563025
warung,2.0791812
pipa,2.5563025
lat,2.5563025
tower,2.5563025
kotak,1.9542425
intan,2.5563025
kuman,2.5563025
buncit,2.5563025
intah,2.2552724
kasih,1.7781513
dedemit,2.5563025
rambut,1.60206
erap,2.5563025
hawa,1.7781513
kokok,2.5563025
eran,2.5563025
eram,2.2552724
kokoh,2.5563025
erah,1.7112044
takzim,1.9542425
aneh,2.5563025
butirbutir,2.2552724
langkah,2.0791812
lambe,2.2552724
mbali,2.5563025
langkan,1.9542425
lilin,2.5563025
hadirin,2.5563025
tafsir,2.2552724
sentong,2.0791812
laman,2.5563025
kabin,2.2552724
keingin,2.5563025
saya,2.0791812
kabir,2.5563025
puncak,2.2552724
mayapada,2.5563025
anga,2.5563025
kristal,2.0791812
sulursulur,2.5563025
naskah,2.5563025
tidur,1.4423592
goreng,2.2552724
tua,1.5149099
padi,1.8573325
elemen,2.5563025
kanakkanak,1.60206
pinggang,2.2552724
kulminasi,2.5563025
distrik,2.0791812
tembelang,2.5563025
beautiful,2.5563025
dokter,2.0791812
pacu,2.0791812
leo,2.5563025
pada,0.56066734
hadap,1.3802112
akbar,2.5563025
tugas,1.60206
watas,2.5563025
pundak,2.5563025
manis,1.8573325
harihar,2.5563025
impi,2.5563025
watak,1.8573325
kriminalitas,2.5563025
uhan,1.4423592
seniwat,2.5563025
kobar,2.5563025
kemul,2.5563025
anis,2.0791812
dagang,1.3802112
mimpi,2.2552724
dingin,1.7781513
nahas,2.5563025
lenyap,2.5563025
dobi,2.5563025
wiski,2.0791812
selangka,2.5563025
sepert,0.62180406
kutub,1.9542425
uskup,2.5563025
padat,1.9542425
dalam,0.44235915
belajarmengajar,2.5563025
carik,2.5563025
merih,2.2552724
padan,2.5563025
karang,1.5563025
ringkas,2.2552724
lepah,1.60206
banding,1.8573325
bapak,1.4423592
tidak,0.6642079
dunia,1.7112044
bising,2.5563025
bundel,2.5563025
bengkok,2.0791812
brahim,2.5563025
padu,1.8573325
mujang,2.5563025
pustaka,1.9542425
burik,2.5563025
paksina,2.5563025
aksen,2.2552724
garwa,2.5563025
junjung,2.5563025
polisi,1.7781513
biah,2.5563025
dikan,2.2552724
gudang,1.9542425
erja,1.4771212
senyap,2.2552724
lis,2.5563025
pimpin,2.2552724
kurung,2.2552724
paha,1.9542425
biak,2.2552724
beker,2.5563025
juang,2.2552724
genap,1.8573325
campur,1.4771212
pagi,2.0791812
lepas,1.7112044
wenang,1.9542425
verbal,1.9542425
lepau,2.5563025
pagu,2.5563025
pria,1.6532125
netra,2.5563025
akarakar,2.5563025
istimewa,2.2552724
garuk,2.2552724
kober,2.5563025
encim,2.2552724
radiasi,2.5563025
intelijen,2.5563025
nipah,2.5563025
awas,1.9542425
encer,2.0791812
selisih,2.5563025
awal,2.2552724
turuntemurun,2.0791812
awak,1.9542425
awan,1.4423592
otret,2.5563025
awam,2.5563025
katakata,1.7112044
erlu,2.2552724
hyang,2.5563025
paja,2.5563025
ringan,1.7781513
entakentak,2.5563025
bibi,2.2552724
ringat,2.2552724
ternak,1.7112044
pompa,2.5563025
frika,2.5563025
bundar,1.6532125
anom,2.5563025
timpan,2.5563025
ustaz,2.5563025
salaris,2.5563025
redap,2.5563025
kulit,1.2775489
iringiring,2.5563025
gulir,2.5563025
sirkulasi,2.5563025
kontaminasi,2.5563025
takhta,2.2552724
pala,1.5563025
hitam,1.8573325
arakara,2.5563025
pilek,2.5563025
gajak,2.5563025
gabagaba,2.5563025
kersik,2.5563025
bekal,2.0791812
bida,2.2552724
logika,2.5563025
bekas,1.7112044
gajah,2.5563025
paku,2.0791812
lomba,2.5563025
paka,0.7433891
asrama,1.7781513
cukup,2.0791812
solah,2.5563025
uruturut,2.5563025
sakit,1.5149099
bayang,2.0791812
jengger,2.5563025
lor,2.5563025
gejala,2.2552724
maisur,2.2552724
halusinasi,2.5563025
hingar,2.5563025
rusuk,2.2552724
pilau,2.5563025
manuk,1.9542425
uah,2.5563025
rusuh,2.5563025
pilar,2.5563025
stasiun,2.5563025
uap,1.60206
uas,2.5563025
boyas,2.5563025
banjar,1.8573325
uat,1.9542425
jurus,2.2552724
kenal,1.9542425
hepar,2.5563025
buram,2.0791812
setrip,2.0791812
tempurung,2.5563025
ubi,2.0791812
muring,2.5563025
eleagris,2.5563025
ranjang,2.2552724
jenangau,2.5563025
wisma,2.2552724
dekatdekat,2.5563025
dai,2.0791812
sewot,2.5563025
manila,2.5563025
dan,0.22184874
tela,2.5563025
zona,1.9542425
paman,2.2552724
entah,2.5563025
rodong,2.5563025
dar,2.5563025
papa,2.5563025
waktu,1.0
papi,2.5563025
entas,2.2552724
anut,2.5563025
enggan,2.5563025
bagai,1.4771212
datar,1.8573325
liter,2.5563025
hingga,1.6532125
format,2.5563025
wanita,1.3521825
syamal,2.5563025
pause,2.5563025
teks,2.5563025
uda,2.0791812
dingklik,2.5563025
aksara,2.5563025
unjung,1.9542425
belanak,2.5563025
peralat,2.5563025
createdcreatorcreatorproverbupdatedproverbupdatedwikipediaupdatedwikipediaupdatedkbbiupdated,2.5563025
ejam,2.5563025
dengan,0.48811665
dengar,1.60206
erti,2.5563025
fiskal,2.5563025
para,1.8573325
garit,2.5563025
garis,1.4771212
halau,2.5563025
gandum,2.2552724
ladak,2.5563025
yuana,2.0791812
biji,1.9542425
belanda,2.2552724
sabuk,2.5563025
komersial,1.8573325
temu,2.5563025
sabun,2.2552724
daksa,2.5563025
karya,2.0791812
mustahil,2.5563025
setala,2.5563025
sembahyang,2.5563025
mamanda,2.2552724
asing,2.2552724
gemuk,2.5563025
pigura,2.5563025
senim,2.5563025
enjin,2.5563025
hirup,2.2552724
impin,1.8573325
cuat,2.2552724
